Surface,NbrPieces,NbrChambres,NbrSdb,Prix,Type_Appartement,Type_Maison,DPE_A (< 50),DPE_B (51 à 90),DPE_C (91 à 150),DPE_D (151 à 230),DPE_E (231 à 330),DPE_F (331 à 450),DPE_Vierge,latitude,longitude
122.0,5.0,3.0,1.0,270000,False,True,False,False,False,True,False,False,False,48.661219416,2.264997188
121.0,5.0,3.0,1.0,455000,False,True,False,False,False,True,False,False,False,48.745502894,2.489056972
118.0,6.0,3.0,2.0,385000,False,True,False,False,False,True,False,False,False,48.656609978,2.351201849
120.0,5.0,3.0,1.0,265000,False,True,False,False,False,False,True,False,False,49.947893467,1.512937053
28.0,2.0,1.0,1.3101736972704714,165300,True,False,False,False,False,True,False,False,False,48.830863087,2.722990758
19.0,1.0,1.0,1.3101736972704714,212000,True,False,False,False,False,False,False,True,False,48.86287791,2.3599986
90.0,4.0,3.0,1.0,275000,True,False,False,False,True,False,False,False,False,48.862764338,2.539943497
77.0,3.0,2.0,1.0,500000,True,False,False,False,False,False,False,True,False,48.906873428,2.245228942
161.0,7.0,5.0,2.0,529000,False,True,False,False,False,True,False,False,False,48.558579656,2.438037857
125.0,6.0,4.0,1.0,595000,False,True,False,False,False,False,True,False,False,48.939819605,2.17448669
31.0,2.0,1.0,1.3101736972704714,393400,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
40.0,2.0,1.0,1.3101736972704714,550000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
101.0,4.0,3.0,1.0,230000,True,False,False,False,False,True,False,False,False,48.645608238,2.40818892
169.0,9.0,5.0,1.0,268000,False,True,False,False,True,False,False,False,False,48.86287791,2.3599986
64.0,3.0,2.0,1.0,170000,True,False,False,False,False,False,False,False,True,48.956644571,2.384861241
20.0,1.0,1.0,1.0,195000,True,False,False,False,False,False,False,True,False,48.86287791,2.3599986
44.0,1.0,1.0,1.0,233000,True,False,False,False,False,True,False,False,False,48.829192097,2.119984317
50.0,2.0,1.0,1.3101736972704714,420000,True,False,False,False,False,False,True,False,False,48.86287791,2.3599986
120.0,7.0,5.0,1.0,489000,False,True,False,False,False,True,False,False,False,49.020680055,2.10161862
93.0,4.0,3.0,1.0,309000,False,True,False,False,False,False,False,False,True,48.942941014,2.675081572
143.0,6.0,5.0,1.3101736972704714,320000,False,True,False,False,False,True,False,False,False,49.011064768,1.888263613
60.0,3.0,2.0,1.0,285000,False,True,False,False,False,False,False,False,True,48.991738548,2.320739048
70.0,3.0,2.0,1.0,160000,True,False,False,False,False,False,True,False,False,48.951531886,2.240388744
52.0,2.0,1.0,1.0,140000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
138.0,5.0,3.0,1.0,220000,False,True,False,False,True,False,False,False,False,48.540826838,3.073142083
93.0,5.0,4.0,1.0,239000,False,True,False,False,True,False,False,False,False,48.603961987,2.46946055
83.0,5.0,4.0,1.3101736972704714,385000,False,True,False,False,False,False,True,False,False,47.159545854,2.715653954
71.0,3.0,2.0,1.0,575000,True,False,False,False,True,False,False,False,False,48.86287791,2.3599986
57.0,3.0,2.0,1.0,329000,True,False,False,False,False,False,False,False,True,48.869374523,2.17771477
1.0,3.0,2.0,1.3101736972704714,100000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
60.0,2.0,1.0,1.3101736972704714,689000,True,False,False,False,False,True,False,False,False,48.885661807,2.266596324
56.0,3.0,2.0,1.0,230000,True,False,False,False,False,False,True,False,False,43.355986306,2.21784948
26.0,1.0,2.541371158392435,1.0,129900,True,False,False,False,False,False,True,False,False,48.902243865,2.484137001
75.0,3.0,2.0,1.0,475000,True,False,False,False,False,True,False,False,False,48.86287791,2.3599986
82.0,3.0,2.0,1.0,168000,True,False,False,False,True,False,False,False,False,48.632105215,2.312175448
85.0,5.0,3.0,1.0,370000,True,False,False,False,False,False,False,False,True,48.846861121,2.13446886
180.0,6.0,5.0,1.3101736972704714,525000,False,True,False,False,False,True,False,False,False,48.836247784,2.564607121
90.0,4.0,3.0,1.0,700000,True,False,False,False,False,False,True,False,False,48.836400822,2.239066161
13.0,1.0,1.0,1.3101736972704714,149000,True,False,False,False,False,False,True,False,False,48.86287791,2.3599986
16.0,1.0,1.0,1.3101736972704714,80000,True,False,False,False,False,False,True,False,False,48.695926703,2.235331474
30.0,1.0,1.0,1.0,270000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
67.0,3.0,1.0,1.0,650000,True,False,False,False,False,False,False,False,True,48.819648936,2.470749433
13.0,1.0,1.0,1.3101736972704714,149000,True,False,False,False,False,True,False,False,False,48.86287791,2.3599986
101.0,6.0,4.0,1.3101736972704714,379000,False,True,False,False,False,True,False,False,False,49.128484415,2.435953796
84.0,5.0,3.0,1.3101736972704714,165000,True,False,False,False,True,False,False,False,False,48.989294485,1.91391108
68.0,3.0,2.0,1.0,237900,True,False,False,False,False,False,True,False,False,48.87491844,2.48590027
74.0,4.0,3.0,1.3101736972704714,199900,True,False,False,False,False,True,False,False,False,48.689811714,2.30290407
150.0,7.0,5.0,1.0,1320000,False,True,False,False,True,False,False,False,False,48.829192097,2.119984317
38.0,2.0,1.0,1.0,220000,True,False,False,False,False,False,False,False,True,48.922750857,2.247051842
46.0,2.0,1.0,1.3101736972704714,259000,True,False,False,True,False,False,False,False,False,48.783876041,2.19738706
72.0,3.0,2.0,1.0,143000,True,False,False,False,False,True,False,False,False,48.645608238,2.40818892
18.0,1.0,2.541371158392435,1.3101736972704714,155000,True,False,False,False,False,False,True,False,False,48.884753073,2.405680234
79.0,4.0,2.0,1.0,292000,True,False,False,False,False,True,False,False,False,48.785828066,2.539660672
40.0,2.0,1.0,1.0,249000,True,False,False,False,False,False,False,False,True,48.87491844,2.48590027
120.0,5.0,4.0,1.0,151000,False,True,False,False,False,False,True,False,False,48.478498645,3.117973352
73.0,3.0,2.0,1.0,131000,False,True,False,False,True,False,False,False,False,48.478498645,3.117973352
66.0,4.0,3.0,1.0,350000,True,False,False,False,False,True,False,False,False,48.896391692,2.153571449
106.0,5.0,4.0,1.0,410000,False,True,False,False,False,False,False,True,False,48.499998601,6.452160605
215.0,9.0,5.0,2.0,695000,False,True,False,False,False,True,False,False,False,48.538911417,2.524704829
95.0,4.0,2.0,1.0,1315000,True,False,False,False,False,True,False,False,False,48.86287791,2.3599986
141.0,6.0,4.0,1.0,460000,False,True,False,False,True,False,False,False,False,48.939482289,2.461086127
82.0,4.0,3.0,1.0,310000,False,True,False,True,False,False,False,False,False,47.811582053,2.79297208
110.0,5.0,4.0,1.0,398000,False,True,False,False,False,False,True,False,False,48.558579656,2.438037857
55.0,2.0,1.0,1.3101736972704714,216000,True,False,False,False,False,True,False,False,False,48.650022012,2.483650956
31.0,1.0,2.541371158392435,1.0,440000,True,False,False,False,False,False,False,True,False,48.86287791,2.3599986
55.0,2.0,1.0,1.3101736972704714,130000,True,False,False,False,True,False,False,False,False,48.741877726,2.449089194
81.0,5.0,3.0,1.0,425000,False,True,False,False,False,False,False,False,True,49.026361092,2.220661508
156.0,7.0,5.0,1.0,599000,False,True,False,False,False,True,False,False,False,48.77621691,2.337698598
62.0,3.0,2.0,1.0,365000,True,False,False,False,False,False,True,False,False,48.798824614,2.494496787
90.0,4.0,1.0,1.0,1600000,True,False,False,False,False,True,False,False,False,48.86287791,2.3599986
137.0,6.0,4.0,2.0,515000,False,True,True,False,False,False,False,False,False,48.999997129,2.098929195
82.0,5.0,3.0,1.0,335000,False,True,False,False,True,False,False,False,False,48.527215604,2.270985877
113.0,5.0,3.0,1.0,520000,False,True,False,False,False,False,True,False,False,48.880113846,1.979320474
32.0,2.0,1.0,1.0,89700,True,False,False,False,False,False,False,True,False,48.65354393,1.82640777
